"","GEOID","neibid","NAME","sampled_pop","total_pop","unemployed","not_in_labor_force","below_poverty_line","no_diploma_18_24_male","no_diploma_18_24_female","under_18_pop","under_18_with_disability","single_mothers","no_diploma_25_64","family_in_poverty","entered_2010_later","foreign_born","disability_under_18","income_under_poverty_line","Poverty_6_and_younger","Poverty_6_11","Poverty_12_17","white","black","asian","hispanic","amiakn","hawaiipi","other_races","two_or_more_races","tract","OBJECTID","tobacco_dens","crime_1mi_ave","alchohol_dens","birth_teen","overobese_teen","overobese_child","ALAND","weed_dens","c_auto_theft","c_burglary","c_narcotics","c_sex","c_grand_theft","c_dui","c_drunk_in_public","c_minor_alcohol","c_minor_tobacco","c_child_abuse","c_child_molest","c_child_neglect","c_domestic_battery","c_domestic_violence","c_missing_juv","c_agg_assault","c_intercourse_with_minor","c_robbery","c_assault","c_threats","c_graffiti","c_disturbance","c_weapons","c_armed_robbery","c_strong_armed_robbery","c_domestic_armed_robbery","c_gang_crime","c_total_crime","cad_calls","ssci_incidents","Hispanic_or_Latino_12th_grade_Enrolled","American_Indian_or_Alaska_Native_12th_grade_Enrolled","Asian_12th_grade_Enrolled","Pacific_Islander_12th_grade_Enrolled","Filipino_12th_grade_Enrolled","African_American_12th_grade_Enrolled","White_12th_grade_Enrolled","Two_or_More_Races_12th_grade_Enrolled","Not_Reported_12th_grade_Enrolled","Hispanic_or_Latino_Graduated","American_Indian_or_Alaska_Native_Graduated","Asian_Graduated","Pacific_Islander_Graduated","Filipino_Graduated","African_American_Graduated","White_Graduated","Two_or_More_Races_Graduated","Not_Reported_Graduated","total_enrolled","total_graduated","grad_rate","no_grad_rate","graf_incidents","graf_area","edi","youth_in_poverty","no_diploma_18_24"
"1","06085500100",70,"Census Tract 5001, Santa Clara County, California",330,7499,5.7,0.0184024536604881,19.4,0,0,0.28337111614882,0,0.0353380450726764,0.150020002667022,0.0313375116682224,0.0300040005334045,0.362981730897453,0,0,0.0333377783704494,0.00706760901453527,0.0344045872783038,14.1,0.4,17.6,65.2,0.00453393785838112,0,0.394719295906121,0.0353380450726764,"5001",70,15.6,66.1,10.4,41.9,"17% to 22%","15% to 21%","1922127",0,10.2680357380984,3.60048006400853,3.60048006400853,0.266702226963595,2.80037338311775,0.933457794372583,0.800106680890785,0,0.133351113481798,3.06707561008134,0.133351113481798,1.06680890785438,2.26696892919056,0.266702226963595,2.13361781570876,1.60021336178157,0,1.06680890785438,6.26750233364449,0.800106680890785,0.133351113481798,1.20016002133618,0.400053340445393,0.400053340445393,0.53340445392719,0,0,39.4719295906121,2894,0,1210,9,443,9,81,43,143,20,3,838,9,430,10,73,38,130,14,2,1961,1544,0.787353391126976,0.212646608873024,0,0,0.378864054788705,0.0748099746632884,0
"2","06085500200",65,"Census Tract 5002, Santa Clara County, California",352,5777,3.8,0,14,0.0143673186775143,0,0.126190064047083,40,0.0342738445559979,0.0962437251168426,0.00415440540072702,0.0562575731348451,0.244590617967803,0,0,0,0.00398130517569673,0.00778951012636316,33,4.1,20.3,36.5,0.0143673186775143,0.00744330967630258,0.143846287000173,0.0770296001384802,"5002",65,13.6,73.9,6.4,27.9,"17% to 22%","8% to 10%","1680241",0,2.94270382551497,3.46200450060585,6.23160810109053,15.9252207027869,2.4234031504241,1.21170157521205,1.38480180024234,0.173100225030293,0,0.346200450060585,1.38480180024234,0.69240090012117,1.90410247533322,0.346200450060585,3.80820495066644,2.4234031504241,0.346200450060585,0.519300675090878,10.7322139518781,1.73100225030293,1.03860135018176,2.07720270036351,1.21170157521205,0.173100225030293,0.173100225030293,0,0,57.988575385148,3335,0,1345,9,71,7,30,46,175,25,3,949,8,68,8,28,40,159,20,2,1711,1282,0.74926943308007,0.25073056691993,0,0,1.67445060732484,0.0117708153020599,0.0143673186775143
"3","06085500300",65,"Census Tract 5003, Santa Clara County, California",329,3633,11.3,0.00275254610514726,20.7,0,0,0.0787228186072117,15,0.0222956234516928,0.0812001101018442,0.0121112028626479,0.0162400220203688,0.213597577759427,0,0,0.0123864574731627,0,0.00165152766308836,42,6.3,15.1,33.2,0.00908340214698596,0,0.0737682356179466,0.0583539774291219,"5003",65,13.6,73.9,6.4,27.9,"17% to 22%","8% to 10%","2922372",0,10.7349298100743,7.43187448389761,15.1390035783099,0.550509221029452,13.2122213047069,2.20203688411781,3.57830993669144,0,0,1.37627305257363,0.275254610514726,1.37627305257363,3.57830993669144,0.275254610514726,1.65152766308836,3.02780071566199,0,3.30305532617671,13.7627305257363,1.37627305257363,2.75254610514726,1.92678227360308,1.37627305257363,0.275254610514726,2.20203688411781,0,0,83.6774015964767,3410,0,985,5,48,5,20,42,122,14,3,695,6,40,4,18,27,101,10,2,1244,903,0.72588424437299,0.27411575562701,0,0,1.08968123489037,0.014037985136251,0
"4","06085500400",64,"Census Tract 5004, Santa Clara County, California",333,2435,2.5,0.0114989733059548,10.3,0.00698151950718686,0.00410677618069815,0.216427104722793,37,0.0431211498973306,0.0841889117043121,0.0123203285420945,0.031211498973306,0.229568788501027,0.015605749486653,0,0,0,0.00698151950718686,39.9,1.3,9.2,44.8,0.0151950718685832,0.00205338809034908,0.180287474332649,0.0726899383983573,"5004",64,5.1,23.4,4.1,7.4,"11% to 17%","6% to 8%","1005368",0,11.088295687885,4.10677618069815,2.87474332648871,0.82135523613963,5.74948665297741,0,0,0,0,1.23203285420945,0.410677618069815,1.23203285420945,2.46406570841889,0,1.64271047227926,1.23203285420945,0,0,4.92813141683778,0.82135523613963,0.410677618069815,0.82135523613963,0,0,0,0,0.410677618069815,36.5503080082135,941,0,985,5,48,5,20,42,122,14,3,695,6,40,4,18,27,101,10,2,1244,903,0.72588424437299,0.27411575562701,0,0,0.965303107407972,0.00698151950718686,0.011088295687885
"5","06085500500",64,"Census Tract 5005, Santa Clara County, California",481,5581,3,0.00215015230245476,5.4,0.00358358717075793,0.00250851101953055,0.195663859523383,8,0.0340440781222003,0.0284895180075255,0.00645045690736427,0.00752553305859165,0.182583766350116,0.00680881562444006,0,0.00555456011467479,0.00322522845368214,0.00340440781222003,58.3,1.1,13.6,21.1,0.00394194588783372,0.0164845009854865,0.0707758466224691,0.0671922594517112,"5005",64,5.1,23.4,4.1,7.4,"11% to 17%","6% to 8%","2134649",0,3.94194588783372,6.98799498297796,3.76276652929583,0.716717434151586,2.68769037806845,1.43343486830317,0.537538075613689,0.179179358537896,0.179179358537896,0.895896792689482,0.179179358537896,0.716717434151586,1.79179358537896,0,1.79179358537896,1.07507615122738,0,1.43343486830317,9.49650600250851,2.15015230245476,0.895896792689482,1.97097294391686,0.895896792689482,0.716717434151586,0.358358717075793,0,0,39.777817595413,2043,0,1120,5,65,6,29,50,175,25,3,796,6,52,5,27,33,147,21,2,1478,1089,0.73680649526387,0.26319350473613,0,0,0.132969648597779,0.012184196380577,0.00609209819028848
"6","06085500600",64,"Census Tract 5006, Santa Clara County, California",266,4885,3,0,6.1,0.00286591606960082,0,0.180552712384852,37,0.0440122824974411,0.022517911975435,0.004503582395087,0.0231320368474923,0.217604912998976,0.00204708290685773,0,0,0,0.00286591606960082,51.6,2.8,12.7,24.7,0.00941658137154555,0,0.0796315250767656,0.125281473899693,"5006",64,5.1,23.4,4.1,7.4,"11% to 17%","6% to 8%","1345945",0,10.6448311156602,7.16479017400205,3.07062436028659,0.204708290685773,6.96008188331627,0.818833162743091,0.409416581371546,0,0,0.818833162743091,0.409416581371546,0.204708290685773,2.66120777891505,0.204708290685773,1.84237461617195,1.02354145342886,0,2.86591606960082,5.52712384851587,0.614124872057318,1.22824974411464,1.22824974411464,0.409416581371546,1.02354145342886,1.43295803480041,0,0,44.8311156601842,2183,0,985,5,48,5,20,42,122,14,3,695,6,40,4,18,27,101,10,2,1244,903,0.72588424437299,0.27411575562701,0,0,0.789561935772905,0.00286591606960082,0.00286591606960082
"7","06085500800",65,"Census Tract 5008, Santa Clara County, California",293,3470,8.5,0,12.6,0,0,0.102017291066282,42,0.0262247838616715,0.0965417867435159,0.0115273775216138,0.0175792507204611,0.292507204610951,0.0109510086455331,0,0,0.00461095100864553,0.00432276657060519,35,6.7,22.1,34.1,0.00979827089337176,0.00201729106628242,0.0899135446685879,0.0167146974063401,"5008",65,13.6,73.9,6.4,27.9,"17% to 22%","8% to 10%","1678457",0,17.5792507204611,7.20461095100864,34.5821325648415,1.72910662824207,30.5475504322767,5.18731988472622,11.5273775216138,0,0,0.864553314121037,0.288184438040346,0.288184438040346,9.51008645533141,0.576368876080692,1.72910662824207,10.6628242074928,0,10.6628242074928,32.5648414985591,2.59365994236311,2.01729106628242,4.61095100864553,4.03458213256484,3.1700288184438,5.76368876080692,0,0,176.080691642651,5273,0,1345,9,71,7,30,46,175,25,3,949,8,68,8,28,40,159,20,2,1711,1282,0.74926943308007,0.25073056691993,0,0,1.27953860394046,0.00893371757925072,0
"8","06085500901",65,"Census Tract 5009.01, Santa Clara County, California",262,3890,6.5,0,31.7,0.016452442159383,0,0.114910025706941,16,0.0393316195372751,0.0254498714652956,0.0318766066838046,0.154755784061697,0.432904884318766,0.00231362467866324,0,0.0239074550128535,0.00616966580976864,0.0223650385604113,27.4,6.9,39.2,23.9,0,0.00179948586118252,0.138303341902314,0.022879177377892,"5009.01",65,13.6,73.9,6.4,27.9,"17% to 22%","8% to 10%","720813",0,14.3958868894602,7.96915167095116,31.6195372750643,2.5706940874036,20.8226221079691,3.34190231362468,9.76863753213368,0.77120822622108,0,1.2853470437018,0.77120822622108,0,3.59897172236504,1.02827763496144,4.11311053984576,14.3958868894602,0.51413881748072,12.853470437018,37.7892030848329,1.2853470437018,1.54241645244216,3.08483290488432,3.08483290488432,3.34190231362468,7.96915167095116,0,1.2853470437018,170.437017994859,4715,0,1345,9,71,7,30,46,175,25,3,949,8,68,8,28,40,159,20,2,1711,1282,0.74926943308007,0.25073056691993,0,0,1.41946424742376,0.0524421593830334,0.016452442159383
"9","06085500902",71,"Census Tract 5009.02, Santa Clara County, California",627,5963,7.9,0.000838504108670132,14.7,0.00167700821734026,0.00117390575213819,0.0446084185812511,130,0.0102297501257756,0.0249874224383699,0.0088881435519034,0.044105316116049,0.175582760355526,0.00167700821734026,0.000838504108670132,0.00352171725641456,0.0025155123260104,0.00218011068254234,30.3,7.9,31.4,22.8,0.0122421599865839,0.00184470903907429,0.0704343451282911,0.094750964279725,"5009.02",71,18.8,98.9,9.4,7.8,"0% to 11%","8% to 10%","242522",0,3.1863156129465,0.838504108670132,1.67700821734026,0.167700821734027,1.34160657387221,0.167700821734027,0.335401643468053,0,0,0.503102465202079,0,0,0.838504108670132,0.335401643468053,0.335401643468053,0.838504108670132,0,0.838504108670132,2.34781150427637,0.503102465202079,0,0,0,0.335401643468053,0.167700821734027,0,0,12.577561630052,720,0,985,5,48,5,20,42,122,14,3,695,6,40,4,18,27,101,10,2,1244,903,0.72588424437299,0.27411575562701,0,0,1.80093135970201,0.0082173402649673,0.00285091396947845
"10","06085501000",70,"Census Tract 5010, Santa Clara County, California",221,4361,5.4,0.0137583123136895,23.1,0,0.0160513643659711,0.14698463655125,49,0.0598486585645494,0.157991286402201,0.0279752350378354,0.0199495528548498,0.423297408851181,0.00343957807842238,0.00733776656730108,0.0224719101123595,0.0178858060077964,0.0165099747764274,21.7,4,17,55.4,0,0,0.274707635863334,0.0917220820912635,"5010",70,15.6,66.1,10.4,41.9,"17% to 22%","15% to 21%","802660",0,9.40151341435451,5.50332492547581,20.4081632653061,2.29305205228159,5.73263013070397,1.14652602614079,2.06374684705343,0.229305205228159,0,1.60513643659711,0.917220820912635,0.687915615684476,5.04471451501949,0.917220820912635,0.917220820912635,5.27401972024765,0,3.66888328365054,15.1341435450585,0.917220820912635,1.83444164182527,1.37583123136895,2.06374684705343,0.917220820912635,2.06374684705343,0,0.229305205228159,80.4861270350837,3141,0,1345,9,71,7,30,46,175,25,3,949,8,68,8,28,40,159,20,2,1711,1282,0.74926943308007,0.25073056691993,0,0,1.15857205929282,0.0568676908965834,0.0160513643659711
