"","GEOID","neibid","NAME","sampled_pop","total_pop","unemployed","not_in_labor_force","below_poverty_line","no_diploma_18_24_male","no_diploma_18_24_female","under_18_pop","under_18_with_disability","single_mothers","no_diploma_25_64","family_in_poverty","entered_2010_later","foreign_born","disability_under_18","income_under_poverty_line","Poverty_6_and_younger","Poverty_6_11","Poverty_12_17","white","black","asian","hispanic","amiakn","hawaiipi","other_races","two_or_more_races","tract","OBJECTID","tobacco_dens","crime_1mi_ave","alchohol_dens","birth_teen","overobese_teen","overobese_child","ALAND","weed_dens","c_auto_theft","c_burglary","c_narcotics","c_sex","c_grand_theft","c_dui","c_drunk_in_public","c_minor_alcohol","c_minor_tobacco","c_child_abuse","c_child_molest","c_child_neglect","c_domestic_battery","c_domestic_violence","c_missing_juv","c_agg_assault","c_intercourse_with_minor","c_robbery","c_assault","c_threats","c_graffiti","c_disturbance","c_weapons","c_armed_robbery","c_strong_armed_robbery","c_domestic_armed_robbery","c_gang_crime","c_total_crime","cad_calls","ssci_incidents","Hispanic_or_Latino_12th_grade_Enrolled","American_Indian_or_Alaska_Native_12th_grade_Enrolled","Asian_12th_grade_Enrolled","Pacific_Islander_12th_grade_Enrolled","Filipino_12th_grade_Enrolled","African_American_12th_grade_Enrolled","White_12th_grade_Enrolled","Two_or_More_Races_12th_grade_Enrolled","Not_Reported_12th_grade_Enrolled","Hispanic_or_Latino_Graduated","American_Indian_or_Alaska_Native_Graduated","Asian_Graduated","Pacific_Islander_Graduated","Filipino_Graduated","African_American_Graduated","White_Graduated","Two_or_More_Races_Graduated","Not_Reported_Graduated","total_enrolled","total_graduated","grad_rate","no_grad_rate","graf_incidents","graf_area","edi","youth_in_poverty","no_diploma_18_24"
"1","06085500100",70,"Census Tract 5001, Santa Clara County, California",328,7824,3.8,0.0207055214723926,15.6,0,0,0.296267893660532,0,0.0332310838445808,0.147367075664622,0.0228783231083845,0.0400051124744376,0.3859918200409,0,0,0.0341257668711656,0.00613496932515337,0.0233895705521472,13.1,2.1,23,59.4,0.00434560327198364,0,0.433410020449898,0.0302914110429448,"5001",70,15.6,66.1,10.4,41.9,"17% to 22%","15% to 21%","1922127",0,15.3374233128834,3.70654396728016,2.55623721881391,0.255623721881391,3.57873210633947,1.40593047034765,0.255623721881391,0,0,1.53374233128834,0.766871165644172,0.127811860940695,2.6840490797546,0.511247443762781,1.40593047034765,2.17280163599182,0.127811860940695,0.383435582822086,6.26278118609407,0.639059304703476,0.639059304703476,0.894683026584867,0.127811860940695,0,0.255623721881391,0,0.511247443762781,41.7944785276074,2623,0.00242842535787321,1255,10,446,9,86,51,153,36,1,914,4,425,9,75,35,129,35,0,2047,1626,0.794333170493405,0.205666829506595,0.0166155419222904,28389.6556067297,0.662552095131804,0.0636503067484663,0
"2","06085500200",65,"Census Tract 5002, Santa Clara County, California",350,6269,3.2,0,15.1,0.0188227787525921,0,0.130004785452225,40,0.0342957409475195,0.101770617323337,0.00271175626096666,0.0572659116286489,0.254267028234168,0,0,0,0.00271175626096666,0.00430690700271176,28.9,5.3,18.1,40.6,0.0145158717498804,0.0100494496729941,0.200191418089009,0.0878928058701547,"5002",65,13.6,73.9,6.4,27.9,"17% to 22%","8% to 10%","1680241",0,4.94496729940979,3.50933163183921,7.49720848620195,17.7061732333706,4.94496729940979,1.59515074174509,0.638060296698038,0,0,0.797575370872547,1.43563566757059,0.638060296698038,3.03078640931568,0.478545222523528,4.62593715106077,1.11660551922157,0.319030148349019,0.797575370872547,7.81623863455096,1.59515074174509,0.159515074174509,1.27612059339608,0.319030148349019,0.478545222523528,0.319030148349019,0,13.3992662306588,72.8983888977508,3665,0.00303078640931568,1346,9,69,5,37,56,161,18,1,1010,3,60,5,31,40,138,16,0,1702,1303,0.765569917743831,0.234430082256169,0.0285531982772372,71144.6068864068,1.77501766849928,0.00701866326367842,0.0188227787525921
"3","06085500300",65,"Census Tract 5003, Santa Clara County, California",350,3790,7.8,0.0129287598944591,20.5,0,0,0.0870712401055409,15,0.0195250659630607,0.0680738786279683,0.00923482849604222,0.0213720316622691,0.207387862796834,0,0,0.0129287598944591,0,0,43.4,7.4,20.6,22.8,0.00712401055408971,0,0.062532981530343,0.0886543535620053,"5003",65,13.6,73.9,6.4,27.9,"17% to 22%","8% to 10%","2922372",0,10.5540897097625,10.0263852242744,9.49868073878628,0.79155672823219,15.8311345646438,1.58311345646438,1.31926121372032,0,0,0.527704485488127,0.527704485488127,0,5.27704485488127,0.527704485488127,1.58311345646438,3.69393139841689,0,2.63852242744063,16.622691292876,2.11081794195251,0.79155672823219,1.84696569920844,2.37467018469657,1.31926121372032,1.05540897097625,0,0.79155672823219,80.2110817941953,3578,0.0050131926121372,1011,6,37,4,26,49,122,15,1,702,1,29,4,22,33,93,12,0,1271,896,0.704956726986625,0.295043273013375,0.066490765171504,42188.7779380503,1.27002945823043,0.0129287598944591,0
"4","06085500400",64,"Census Tract 5004, Santa Clara County, California",349,2417,3.3,0.00992966487381051,9.7,0,0.0028961522548614,0.219693835333058,37,0.0442697558957385,0.0736450144807613,0.0165494414563508,0.0364087712039719,0.240794373189905,0.0103434009102193,0,0,0,0,45.6,2.5,8.4,38.7,0.0115846090194456,0.00206868018204386,0.158460901944559,0.072403806371535,"5004",64,5.1,23.4,4.1,7.4,"11% to 17%","6% to 8%","1005368",0,5.7923045097228,4.55109640049648,1.65494414563508,0.413736036408771,2.8961522548614,0.413736036408771,0,0,0,1.65494414563508,0.827472072817542,0.413736036408771,3.30988829127017,0,1.24120810922631,2.06868018204386,0.413736036408771,0.413736036408771,6.20604054613157,1.24120810922631,0.413736036408771,1.24120810922631,0.413736036408771,0.413736036408771,0,0,0,30.6164666942491,891,0.00786098469176665,1011,6,37,4,26,49,122,15,1,702,1,29,4,22,33,93,12,0,1271,896,0.704956726986625,0.295043273013375,0.00703351261894911,1602.08496900772,0.877534974410736,0,0.0028961522548614
"5","06085500500",64,"Census Tract 5005, Santa Clara County, California",476,5616,1.7,0.00302706552706553,9.4,0.00551994301994302,0.00765669515669516,0.179665242165242,8,0.0219017094017094,0.0318732193732194,0.0208333333333333,0.0471866096866097,0.229344729344729,0.0016025641025641,0,0.0119301994301994,0.00854700854700855,0.00534188034188034,58.4,1.4,16.1,20,0.00106837606837607,0,0.0737179487179487,0.087962962962963,"5005",64,5.1,23.4,4.1,7.4,"11% to 17%","6% to 8%","2134649",0,6.41025641025641,6.58831908831909,2.13675213675214,0.534188034188034,3.91737891737892,0.534188034188034,0.89031339031339,0.178062678062678,0,1.42450142450142,0.178062678062678,0.356125356125356,0.89031339031339,0.89031339031339,2.13675213675214,1.95868945868946,0.178062678062678,0.89031339031339,5.87606837606838,1.42450142450142,1.6025641025641,1.06837606837607,0.356125356125356,0.178062678062678,0.534188034188034,0,0.356125356125356,37.2150997150997,2109,0.00445156695156695,1150,7,52,5,33,57,171,28,1,805,2,44,5,29,40,135,19,0,1504,1079,0.717420212765957,0.282579787234043,0.0140669515669516,11009.8711698311,0.187429221451281,0.0258190883190883,0.0131766381766382
"6","06085500600",64,"Census Tract 5006, Santa Clara County, California",291,5165,2.9,0,6.8,0.00251694094869313,0.00948693126815102,0.192449177153921,37,0.0344627299128751,0.0222652468538238,0.00329138431752178,0.0549854791868345,0.248596321393998,0.0021297192642788,0,0.00387221684414327,0,0,49,6,14.3,23,0.0145208131655373,0,0.0834462729912875,0.101645692158761,"5006",64,5.1,23.4,4.1,7.4,"11% to 17%","6% to 8%","1345945",0,9.87415295256534,8.71248789932236,1.16166505324298,0.193610842207164,8.90609874152953,0.580832526621491,0,0,0,1.93610842207164,0.968054211035818,0,1.54888673765731,0.580832526621491,6.3891577928364,1.74249757986447,0,1.35527589545015,5.61471442400774,1.16166505324298,0.968054211035818,0.580832526621491,0,0.774443368828654,0.580832526621491,0,0,48.9835430784124,2177,0.00367860600193611,1011,6,37,4,26,49,122,15,1,702,1,29,4,22,33,93,12,0,1271,896,0.704956726986625,0.295043273013375,0.0168441432720232,5389.80552464233,1.0255987688438,0.00387221684414327,0.0120038722168441
"7","06085500800",65,"Census Tract 5008, Santa Clara County, California",294,3683,8.2,0,13.3,0,0,0.113494433885419,42,0.0133043714363291,0.0936736356231333,0.0119467825142547,0.0317675807765409,0.272603855552539,0.013575889220744,0,0,0.0114037469454249,0.00705946239478686,37.6,4,21.9,35.4,0.00352973119739343,0,0.141189247895737,0.0366549008960087,"5008",65,13.6,73.9,6.4,27.9,"17% to 22%","8% to 10%","1678457",0,18.4632093402118,11.4037469454249,30.1384740700516,0.814553353244638,32.5821341297855,5.1588379038827,5.43035568829758,0.271517784414879,0,0.543035568829758,0.271517784414879,0.543035568829758,8.41705131686125,1.3575889220744,2.71517784414879,14.6619603584035,0,7.8740157480315,35.2973119739343,4.07276676622319,0.814553353244638,2.71517784414879,1.08607113765952,1.08607113765952,5.1588379038827,0,3.52973119739343,171.056204181374,5455,0.0051588379038827,1346,9,69,5,37,56,161,18,1,1010,3,60,5,31,40,138,16,0,1702,1303,0.765569917743831,0.234430082256169,0.121368449633451,208531.580773119,1.29118210028855,0.0184632093402118,0
"8","06085500901",65,"Census Tract 5009.01, Santa Clara County, California",303,4064,3.7,0,28.9,0.0046751968503937,0,0.0907972440944882,16,0.0406003937007874,0.0393700787401575,0.0196850393700787,0.182332677165354,0.459645669291339,0.00172244094488189,0,0.0231299212598425,0.00713582677165354,0,27.3,7,43.6,18.3,0,0.00221456692913386,0.144192913385827,0.031988188976378,"5009.01",65,13.6,73.9,6.4,27.9,"17% to 22%","8% to 10%","720813",0,13.5334645669291,13.2874015748031,19.6850393700787,1.23031496062992,15.994094488189,6.64370078740157,8.36614173228346,0.246062992125984,0,0.246062992125984,0,0,5.65944881889764,1.23031496062992,2.95275590551181,15.748031496063,0,17.2244094488189,34.4488188976378,2.46062992125984,1.96850393700787,2.95275590551181,1.23031496062992,3.69094488188976,11.8110236220472,0,3.69094488188976,156.25,4690,0.0046751968503937,1346,9,69,5,37,56,161,18,1,1010,3,60,5,31,40,138,16,0,1702,1303,0.765569917743831,0.234430082256169,0.0425688976377953,33988.1930099535,1.24430698129441,0.0302657480314961,0.0046751968503937
"9","06085500902",71,"Census Tract 5009.02, Santa Clara County, California",674,6151,7.5,0.000812875955129247,13,0.00162575191025849,0.0013006015282068,0.038855470655178,130,0.00877906031539587,0.0250365794179808,0.00796618436026662,0.0720208096244513,0.203869289546415,0.00146317671923265,0.000812875955129247,0.00503983092180133,0.00211347748333604,0.000650300764103398,28.4,7.9,32.3,25.6,0.00910421069744757,0.00325150382051699,0.0975451146155097,0.088603479109088,"5009.02",71,18.8,98.9,9.4,7.8,"0% to 11%","8% to 10%","242522",0,3.41407901154284,2.27605267436189,0.975451146155097,0.162575191025849,0.975451146155097,0.325150382051699,0,0,0,0.325150382051699,0,0,0.975451146155097,0.162575191025849,0.325150382051699,0.487725573077548,0,0.650300764103398,2.11347748333604,0.162575191025849,0.325150382051699,0.650300764103398,0,0.325150382051699,0.162575191025849,0,0.325150382051699,13.006015282068,801,0.00308892862949114,1011,6,37,4,26,49,122,15,1,702,1,29,4,22,33,93,12,0,1271,896,0.704956726986625,0.295043273013375,0.00357665420256869,11954.1555298824,1.85215411702664,0.00780360916924077,0.00292635343846529
"10","06085501000",70,"Census Tract 5010, Santa Clara County, California",224,4647,6.2,0.0133419410372283,27.4,0,0.0163546374004734,0.16935657413385,49,0.052937378954164,0.145685388422638,0.0434689046696794,0.0370131267484399,0.423714224230686,0.00451904454486766,0.00710135571336346,0.0208736819453411,0.0380890897353131,0.0273294598665806,24.4,3.7,20.7,49,0,0.00430385194749301,0.221433182698515,0.091672046481601,"5010",70,15.6,66.1,10.4,41.9,"17% to 22%","15% to 21%","802660",0,12.0507854529804,9.46847428448461,12.0507854529804,1.07596298687325,7.10135571336346,1.93673337637185,1.2911555842479,0,0,1.50634818162255,0.645577792123951,1.07596298687325,3.65827415536906,1.50634818162255,0.860770389498601,7.74693350548741,0,3.65827415536906,15.9242522057241,0.860770389498601,2.5823111684958,1.07596298687325,0.860770389498601,1.2911555842479,2.36711857112115,0,1.2911555842479,80.9124166128685,3551,0.00408865935011836,1346,9,69,5,37,56,161,18,1,1010,3,60,5,31,40,138,16,0,1702,1303,0.765569917743831,0.234430082256169,0.0723047127178825,72507.7664006555,1.40066522558833,0.0862922315472348,0.0163546374004734
