"","GEOID","neib_name","Predicted_2020_VOCATIONAL_TRAINING_raw_metric","Predicted_2020_VOCATIONAL_TRAINING_metric"
"1","06085500100","San Jose - Northside",0.191061846209583,"30"
"2","06085500200","San Jose - Downtown",0.48479192304768,"70"
"3","06085500300","San Jose - Downtown",0.278759332666424,"50"
"4","06085500400","Rose Garden",0.150044784411591,"20"
"5","06085500500","Rose Garden",0.238351483696906,"40"
"6","06085500600","Rose Garden",0.218455880835968,"30"
"7","06085500800","San Jose - Downtown",0.414064938850166,"70"
"8","06085500901","San Jose - Downtown",0.823902421146871,"90"
"9","06085500902","San Jose - University",0.730416118169415,"90"
"10","06085501000","San Jose - Northside",0.719181606153384,"90"
"11","06085501101","San Jose - Northside",0.556338571502862,"80"
"12","06085501102","San Jose - Northside",0.524504518236773,"80"
"13","06085501200","San Jose - Northside",0.521983628779584,"80"
"14","06085501300","San Jose - University",0.786686034964537,"90"
"15","06085501401","Alum Rock West",0.473504713436575,"70"
"16","06085501402","Brookwood Terrace",0.414978214151758,"70"
"17","06085501501","Brookwood Terrace",0.597114424935085,"80"
"18","06085501502","Brookwood Terrace",0.692228564041195,"90"
"19","06085501600","San Jose - University",0.462229369794736,"70"
"20","06085501700","Guadalupe / Washington",0.58124358973753,"80"
"21","06085501800","Willow Glen",0.177173781662892,"30"
"22","06085501900","San Jose - Downtown",0.341962093135065,"60"
"23","06085502001","West San Carlos / Burbank",0.286749214072647,"60"
"24","06085502002","West San Carlos / Burbank",0.708395881016071,"90"
"25","06085502101","West San Carlos / Burbank",0.123708615615575,"20"
"26","06085502102","West San Carlos / Burbank",0.623315807325399,"80"
"27","06085502201","North Willow Glen / Gardner",0.623994865013196,"80"
"28","06085502202","Willow Glen",0.241484321355317,"40"
"29","06085502301","North Willow Glen / Gardner",0.168766593071793,"20"
"30","06085502302","North Willow Glen / Gardner",0.231211623494258,"40"
"31","06085502400","Willow Glen",0.0770681410576539,"10"
"32","06085502500","Willow Glen",0.040892631361884,"0"
"33","06085502601","Willow Glen",0.145990840689666,"20"
"34","06085502603","Winchester East",0.115787247816616,"10"
"35","06085502604","Winchester East",0.122187652323588,"10"
"36","06085502701","Cambrian Park West Central",0.262981022205101,"50"
"37","06085502702","Cambrian Park West",0.081799607576176,"10"
"38","06085502800","Cambrian Park West Central",0.229837443074041,"40"
"39","06085502901","Cambrian Park West Central",0.0548233756783119,"0"
"40","06085502902","Cambrian Park East Central",0.207639183338818,"30"
"41","06085502903","Willow Glen South",0.0886262855627824,"10"
"42","06085502906","Cambrian Park West Central",0.168445298140441,"20"
"43","06085502907","Cambrian Park East Central",0.113137386471517,"10"
