"","GEOID","neibid","NAME","sampled_pop","total_pop","unemployed","not_in_labor_force","below_poverty_line","no_diploma_18_24_male","no_diploma_18_24_female","under_18_pop","under_18_with_disability","single_mothers","no_diploma_25_64","family_in_poverty","entered_2010_later","foreign_born","disability_under_18","income_under_poverty_line","Poverty_6_and_younger","Poverty_6_11","Poverty_12_17","white","black","asian","hispanic","amiakn","hawaiipi","other_races","two_or_more_races","tract","OBJECTID","tobacco_dens","crime_1mi_ave","alchohol_dens","birth_teen","overobese_teen","overobese_child","ALAND","weed_dens","c_auto_theft","c_burglary","c_narcotics","c_sex","c_grand_theft","c_dui","c_drunk_in_public","c_minor_alcohol","c_minor_tobacco","c_child_abuse","c_child_molest","c_child_neglect","c_domestic_battery","c_domestic_violence","c_missing_juv","c_agg_assault","c_intercourse_with_minor","c_robbery","c_assault","c_threats","c_graffiti","c_disturbance","c_weapons","c_armed_robbery","c_strong_armed_robbery","c_domestic_armed_robbery","c_gang_crime","c_total_crime","cad_calls","ssci_incidents","Hispanic_or_Latino_12th_grade_Enrolled","American_Indian_or_Alaska_Native_12th_grade_Enrolled","Asian_12th_grade_Enrolled","Pacific_Islander_12th_grade_Enrolled","Filipino_12th_grade_Enrolled","African_American_12th_grade_Enrolled","White_12th_grade_Enrolled","Two_or_More_Races_12th_grade_Enrolled","Not_Reported_12th_grade_Enrolled","Hispanic_or_Latino_Graduated","American_Indian_or_Alaska_Native_Graduated","Asian_Graduated","Pacific_Islander_Graduated","Filipino_Graduated","African_American_Graduated","White_Graduated","Two_or_More_Races_Graduated","Not_Reported_Graduated","total_enrolled","total_graduated","grad_rate","no_grad_rate","graf_incidents","graf_area","edi","youth_in_poverty","no_diploma_18_24"
"1","06085500100",70,"Census Tract 5001, Santa Clara County, California",345,7987,9.3,0.0227870289219982,8.6,0,0.001001627644923,0.27532239889821,0,0.0333041191936897,0.128208338550144,0.0136471766620759,0.0719919869788406,0.41229497934143,0,0,0.019030925253537,0,0.005008138224615,12.4,2.6,26.3,57.4,0.001001627644923,0,0.386878677851509,0.0331789157380744,"5001",70,15.6,66.1,10.4,41.9,"17% to 22%","15% to 21%","1922127",0,8.26342807061475,2.12845874546137,4.75773131338425,0.375610366846125,2.003255289846,0.876424189307625,0.626017278076875,0,0,0.5008138224615,0.25040691123075,0,0.626017278076875,0,0.876424189307625,2.003255289846,0,0.375610366846125,4.75773131338425,0.626017278076875,0.125203455615375,0.626017278076875,0,0,0.375610366846125,0,0.25040691123075,28.5463878803055,2606,0.001001627644923,1284,5,495,9,78,41,136,27,4,1013,3,471,8,73,29,116,26,4,2079,1743,0.838383838383838,0.161616161616162,0.0221610116439214,54108.1864429632,0.734996678705704,0.024039063478152,0.001001627644923
"2","06085500200",65,"Census Tract 5002, Santa Clara County, California",333,6262,8.7,0.00239540083040562,14,0.0164484190354519,0,0.123123602682849,40,0.0258703289683807,0.0876716703928457,0.00447141488342383,0.0868732034493772,0.26828489300543,0.00638773554774832,0,0.0019163206643245,0.00239540083040562,0,26.6,5.6,20.9,42.5,0.0212392206962632,0,0.234749281379751,0.087511977004152,"5002",65,13.6,73.9,6.4,27.9,"17% to 22%","8% to 10%","1680241",0,4.15202810603641,2.55509421909933,7.34589587991057,13.4142446502715,2.23570744171191,1.11785372085596,0,0,0,0.479080166081124,0,0,0.479080166081124,0,1.75662727563079,1.43724049824337,0.159693388693708,0.319386777387416,6.06834877036091,1.27754710954966,0.159693388693708,0.638773554774832,0.479080166081124,0,0.319386777387416,0,12.7754710954966,54.6151389332482,3681,0.00127754710954966,1452,7,65,6,31,52,161,28,5,1172,5,56,4,20,42,137,27,5,1807,1468,0.812396236856669,0.187603763143331,0.0266687959118493,87390.5024661641,1.77754271102434,0.00431172149473012,0.0164484190354519
"3","06085500300",65,"Census Tract 5003, Santa Clara County, California",352,3838,8.7,0.00781657113079729,15.4,0,0,0.0698280354351225,15,0.0299635226680563,0.0760812923397603,0.00859822824387702,0.0323084940072955,0.226159458051068,0.00390828556539865,0,0.00859822824387702,0,0.00234497133923919,39.1,7.2,18.1,30.4,0.00677436164669099,0,0.0797290255341324,0.107347576862949,"5003",65,13.6,73.9,6.4,27.9,"17% to 22%","8% to 10%","2922372",0,8.33767587285044,4.4293903074518,20.8441896821261,0.781657113079729,9.37988535695675,1.04220948410631,2.86607608129234,0,0,0.521104742053153,0,0,1.30276185513288,0,0.260552371026576,2.60552371026576,0.260552371026576,2.60552371026576,11.7248566961959,1.56331422615946,1.04220948410631,0.521104742053153,1.56331422615946,0.521104742053153,1.82386659718603,0,0.781657113079729,69.0463783220427,4204,0.00208441896821261,1101,3,36,3,17,42,105,16,3,880,2,30,1,9,34,93,15,3,1326,1067,0.804675716440422,0.195324283559578,0.0653986451276707,76782.9707010224,1.50322844060244,0.0109431995831162,0
"4","06085500400",64,"Census Tract 5004, Santa Clara County, California",359,2553,7.1,0.00587544065804935,8.1,0,0.00235017626321974,0.218174696435566,37,0.0481786133960047,0.0869565217391304,0.0164512338425382,0.0481786133960047,0.243634939287113,0.0144927536231884,0,0,0,0,45.9,2.5,8.2,40.1,0.0160595377986682,0,0.172346259302781,0.0509204857030944,"5004",64,5.1,23.4,4.1,7.4,"11% to 17%","6% to 8%","1005368",0,3.52526439482961,3.52526439482961,0.783392087739914,0.391696043869957,2.35017626321974,0.783392087739914,0.783392087739914,0,0,0.783392087739914,0,0,0.391696043869957,0,0.391696043869957,0.391696043869957,0,1.17508813160987,3.52526439482961,0.391696043869957,0,1.17508813160987,0,0.391696043869957,0,0,0,19.5848021934978,895,0.00313356835095966,1101,3,36,3,17,42,105,16,3,880,2,30,1,9,34,93,15,3,1326,1067,0.804675716440422,0.195324283559578,0.00313356835095966,3721.91690970696,0.769987772480828,0,0.00235017626321974
"5","06085500500",64,"Census Tract 5005, Santa Clara County, California",465,5575,7.3,0.0136322869955157,9.9,0,0.00609865470852018,0.176681614349776,8,0.0195515695067265,0.0382062780269058,0.0204484304932735,0.0626008968609865,0.231748878923767,0.00143497757847534,0,0.0145291479820628,0.010762331838565,0.00573991031390134,58.4,1,19,20.1,0.0010762331838565,0,0.0747982062780269,0.0651121076233184,"5005",64,5.1,23.4,4.1,7.4,"11% to 17%","6% to 8%","2134649",0,4.66367713004484,3.94618834080717,5.02242152466368,0.358744394618834,1.43497757847534,0,0.358744394618834,0,0,1.43497757847534,0.896860986547085,0,0.538116591928251,0,1.0762331838565,0.896860986547085,0,0.538116591928251,5.38116591928251,0.538116591928251,1.43497757847534,1.25560538116592,0.717488789237668,0,0.358744394618834,0,0.358744394618834,29.4170403587444,2250,0.00286995515695067,1258,3,52,6,26,51,148,29,3,1028,2,43,3,19,43,134,26,3,1576,1301,0.825507614213198,0.174492385786802,0.0224215246636771,15374.1859449797,0.119243867741667,0.0310313901345292,0.00609865470852018
"6","06085500600",64,"Census Tract 5006, Santa Clara County, California",299,5205,8.8,0,8.1,0.0021133525456292,0.00653218059558117,0.170989433237272,37,0.0234390009606148,0.0197886647454371,0.00307396733909702,0.0755043227665706,0.273198847262248,0.00710854947166186,0,0.00384245917387128,0,0,49,5.9,15.4,21.3,0.0163304514889529,0,0.0808837656099904,0.115465898174832,"5006",64,5.1,23.4,4.1,7.4,"11% to 17%","6% to 8%","1345945",0,9.79827089337176,5.76368876080692,0.768491834774256,0.192122958693564,4.03458213256484,0.576368876080692,0.384245917387128,0,0,0.192122958693564,0.768491834774256,0,0.384245917387128,0,1.34486071085495,0.576368876080692,0,1.15273775216138,4.22670509125841,0.384245917387128,0.192122958693564,1.15273775216138,0.192122958693564,0.384245917387128,0.768491834774256,0,0.576368876080692,31.5081652257445,2294,0.00153698366954851,1101,3,36,3,17,42,105,16,3,880,2,30,1,9,34,93,15,3,1326,1067,0.804675716440422,0.195324283559578,0.0178674351585014,15789.6470789657,1.05771860935708,0.00384245917387128,0.00864553314121038
"7","06085500800",65,"Census Tract 5008, Santa Clara County, California",308,3854,11.2,0.00985988583290088,15.2,0,0,0.120913336792942,42,0.0106382978723404,0.0895173845355475,0.0160871821484172,0.0324338349766476,0.284120394395433,0.0108977685521536,0,0,0.0145303580695381,0.00648676699532953,37.1,6.7,21.8,33.9,0.00233523611831863,0,0.105345096004152,0.0337311883757135,"5008",65,13.6,73.9,6.4,27.9,"17% to 22%","8% to 10%","1678457",0,13.7519460300986,10.8977685521536,19.2008303061754,1.55682407887909,14.0114167099118,2.59470679813181,3.37311883757135,0,0,1.29735339906591,0,0,0.518941359626362,0,1.03788271925272,8.82200311364816,0,4.41100155682408,19.2008303061754,2.59470679813181,1.55682407887909,1.55682407887909,2.33523611831863,2.33523611831863,1.81629475869227,0,0.259470679813181,105.604566683965,5667,0.00207576543850545,1452,7,65,6,31,52,161,28,5,1172,5,56,4,20,42,137,27,5,1807,1468,0.812396236856669,0.187603763143331,0.104826154644525,287640.508717914,1.28160823955685,0.0210171250648677,0
"8","06085500901",65,"Census Tract 5009.01, Santa Clara County, California",312,4161,18,0,29.2,0.00528719057918769,0,0.110790675318433,16,0.0326844508531603,0.022590723383802,0.0228310502283105,0.193463109829368,0.438836818072579,0.00384522951213651,0,0.022590723383802,0.00745013217976448,0,32.2,9.9,36.9,16.7,0,0.00240326844508532,0.115597212208604,0.0425378514780101,"5009.01",65,13.6,73.9,6.4,27.9,"17% to 22%","8% to 10%","720813",0,10.0937274693583,13.6986301369863,16.3422254265801,0.720980533525595,8.65176640230714,2.88392213410238,4.32588320115357,0,0.240326844508532,0.720980533525595,0,0,2.16294160057678,0,0.961307378034126,7.93078586878154,0,10.5743811583754,26.676279740447,2.16294160057678,0.720980533525595,1.20163422254266,2.88392213410238,2.88392213410238,6.48882480173035,0,2.16294160057678,109.108387406873,5063,0.00192261475606825,1452,7,65,6,31,52,161,28,5,1172,5,56,4,20,42,137,27,5,1807,1468,0.812396236856669,0.187603763143331,0.0384522951213651,50818.3593235639,1.44784846025482,0.0300408555635664,0.00528719057918769
"9","06085500902",71,"Census Tract 5009.02, Santa Clara County, California",718,5913,30.4,0.000845594452900389,12,0.000845594452900389,0.00101471334348047,0.264671063757822,130,0.00642651784204296,0.0221545746659902,0.00575004227972264,0.0850668019617791,0.203450025367834,0.0219854557754101,0.000845594452900389,0.000676475562320311,0.000845594452900389,0.000676475562320311,26.5,8.3,33.4,26.1,0.0106544901065449,0.0030441400304414,0.105361068831388,0.0843903263994588,"5009.02",71,18.8,98.9,9.4,7.8,"0% to 11%","8% to 10%","242522",0,2.53678335870117,1.01471334348047,1.01471334348047,0,0.169118890580078,0.338237781160156,0.169118890580078,0,0,0.338237781160156,0,0.338237781160156,0,0,0,0.338237781160156,0,0.507356671740233,1.01471334348047,0.169118890580078,0,0,0,0.338237781160156,0.169118890580078,0,0,7.77946896668358,767,0.00135295112464062,1101,3,36,3,17,42,105,16,3,880,2,30,1,9,34,93,15,3,1326,1067,0.804675716440422,0.195324283559578,0.00338237781160156,13412.9677301393,1.86218201620914,0.00219854557754101,0.00186030779638086
"10","06085501000",70,"Census Tract 5010, Santa Clara County, California",203,4588,8.8,0.00457715780296425,28.7,0,0.0204882301656495,0.14232781168265,49,0.020052310374891,0.107236268526591,0.0377070619006103,0.0516564952048823,0.382519616390584,0.0106800348735833,0.00915431560592851,0.0159110723626853,0.021795989537925,0.0152571926765475,24.3,6.6,20.7,42.1,0,0.00632083696599826,0.257628596338274,0.134045335658239,"5010",70,15.6,66.1,10.4,41.9,"17% to 22%","15% to 21%","802660",0,6.53879686137751,5.66695727986051,19.3984306887533,0.4359197907585,2.39755884917175,0.871839581517001,1.743679163034,0,0,1.3077593722755,0.653879686137751,0.21795989537925,1.743679163034,0,1.08979947689625,5.23103748910201,0,3.9232781168265,13.7314734088928,1.743679163034,0,0.871839581517001,1.3077593722755,1.743679163034,1.743679163034,0,1.08979947689625,65.8238884045336,4383,0.001743679163034,1452,7,65,6,31,52,161,28,5,1172,5,56,4,20,42,137,27,5,1807,1468,0.812396236856669,0.187603763143331,0.0880557977332171,180793.835293663,1.91424788871412,0.0529642545771578,0.0204882301656495
